Name,Type,Geometry
West Bengal,State,MultiPolygon
Andaman & Nicobar,Union Territory,MultiPolygon
Chandigarh,Union Territory,Polygon
Daman and Diu and Dadra and Nagar Haveli,Union Territory,MultiPolygon
Delhi,Union Territory,Polygon
Haryana,State,Polygon
Jharkhand,State,Polygon
Karnataka,State,MultiPolygon
Kerala,State,Polygon
Lakshadweep,Union Territory,MultiPolygon
Madhya Pradesh,State,Polygon
Maharashtra,State,MultiPolygon
Puducherry,Union Territory,MultiPolygon
Tamilnadu,State,MultiPolygon
Chhattishgarh,State,Polygon
Telengana,State,Polygon
Andhra Pradesh,State,Polygon
Goa,State,Polygon
Himachal Pradesh,State,Polygon
Punjab,State,Polygon
Rajasthan,State,Polygon
Gujarat,State,Polygon
Uttarakhand,State,Polygon
Uttar Pradesh,State,Polygon
Sikkim,State,Polygon
Assam,State,Polygon
Arunachal Pradesh,State,Polygon
Nagaland,State,Polygon
Manipur,State,Polygon
Mizoram,State,Polygon
Tripura,State,Polygon
Meghalaya,State,Polygon
Bihar,State,Polygon
Ladakh,Union Territory,Polygon
Jammu and Kashmir,Union Territory,Polygon
Odisha,State,Polygon
